split,budget_nm,model,events,candidate_recall,top1_end_to_end,top3_end_to_end,top5_end_to_end,mrr_end_to_end,conditional_top1,conditional_top5,habit_change_events,change_precision,change_recall,change_f1
validation,0.0,budget_0.0,4880,0.9918032786885246,0.4125,0.7926229508196722,0.8543032786885246,0.6162087203333606,0.4159090909090909,0.8613636363636363,4471,0.698876404494382,0.9565551710880431,0.8076610939782503
validation,5.0,budget_5.0,4880,0.9918032786885246,0.6264344262295082,0.8110655737704918,0.8661885245901639,0.7348855409064189,0.6316115702479339,0.8733471074380166,4471,0.825246012894469,0.9350249903883122,0.8767123287671232
validation,10.0,budget_10.0,4880,0.9918032786885246,0.6317622950819672,0.826844262295082,0.8756147540983606,0.7424636348656453,0.6369834710743801,0.8828512396694215,4471,0.8267528931245746,0.9338715878508266,0.8770536197869652
validation,15.0,budget_15.0,4880,0.9918032786885246,0.6346311475409836,0.8356557377049181,0.8790983606557377,0.7458863965120135,0.6398760330578512,0.8863636363636364,4471,0.8300854700854701,0.9334871203383314,0.8787549764748461
validation,20.0,budget_20.0,4880,0.9918032786885246,0.6512295081967213,0.8547131147540984,0.8948770491803278,0.7635169058682791,0.6566115702479339,0.9022727272727272,4471,0.8383977900552486,0.9334871203383314,0.8833909405130072
validation,25.0,budget_25.0,4880,0.9918032786885246,0.6577868852459017,0.8584016393442623,0.896311475409836,0.7680298357266425,0.6632231404958677,0.9037190082644628,4471,0.8410664819944599,0.9338715878508266,0.8850428128985243
validation,30.0,budget_30.0,4880,0.9918032786885246,0.6594262295081967,0.8622950819672132,0.9032786885245901,0.7700215037299889,0.6648760330578513,0.9107438016528926,4471,0.8417041912019397,0.9342560553633218,0.8855685131195336
validation,35.0,budget_35.0,4880,0.9918032786885246,0.6594262295081967,0.8692622950819672,0.9045081967213114,0.7716195616626275,0.6648760330578513,0.9119834710743802,4471,0.8421782865071107,0.9334871203383314,0.8854850474106492
validation,40.0,budget_40.0,4880,0.9918032786885246,0.6600409836065574,0.8711065573770492,0.9067622950819673,0.7727483987472766,0.665495867768595,0.9142561983471075,4471,0.8420687261367581,0.932718185313341,0.8850784385260854
validation,45.0,budget_45.0,4880,0.9918032786885246,0.6610655737704918,0.8711065573770492,0.9120901639344262,0.7736022676584297,0.6665289256198347,0.9196280991735537,4471,0.8432939541348159,0.9331026528258363,0.8859280890673481
