event_id,cap,actual_recalled,candidate_count,split
TR_0,20,1,20,train
TR_0,40,1,40,train
TR_0,80,1,80,train
TR_1,20,0,20,train
TR_1,40,1,40,train
TR_1,80,1,80,train
TR_2,20,1,20,train
TR_2,40,1,40,train
TR_2,80,1,76,train
TR_3,20,1,20,train
TR_3,40,1,40,train
TR_3,80,1,80,train
TR_4,20,1,20,train
TR_4,40,1,22,train
TR_4,80,1,22,train
TR_5,20,1,20,train
TR_5,40,1,33,train
TR_5,80,1,33,train
TR_6,20,1,20,train
TR_6,40,1,40,train
TR_6,80,1,70,train
TR_7,20,1,20,train
TR_7,40,1,40,train
TR_7,80,1,42,train
TR_8,20,1,20,train
TR_8,40,1,40,train
TR_8,80,1,43,train
TR_9,20,1,9,train
TR_9,40,1,9,train
TR_9,80,1,9,train
TR_10,20,1,20,train
TR_10,40,1,40,train
TR_10,80,1,80,train
TR_11,20,0,20,train
TR_11,40,1,40,train
TR_11,80,1,80,train
TR_12,20,1,20,train
TR_12,40,1,22,train
TR_12,80,1,22,train
TR_13,20,0,20,train
TR_13,40,1,40,train
TR_13,80,1,66,train
TR_14,20,1,15,train
TR_14,40,1,15,train
TR_14,80,1,15,train
TR_15,20,1,20,train
TR_15,40,1,32,train
TR_15,80,1,32,train
TR_16,20,1,20,train
TR_16,40,1,40,train
TR_16,80,1,76,train
TR_17,20,1,20,train
TR_17,40,1,40,train
TR_17,80,1,63,train
TR_18,20,1,20,train
TR_18,40,1,40,train
TR_18,80,1,70,train
TR_19,20,1,20,train
TR_19,40,1,40,train
TR_19,80,1,46,train
TR_20,20,1,15,train
TR_20,40,1,15,train
TR_20,80,1,15,train
TR_21,20,1,20,train
TR_21,40,1,40,train
TR_21,80,1,80,train
TR_22,20,1,20,train
TR_22,40,1,40,train
TR_22,80,1,64,train
TR_23,20,1,20,train
TR_23,40,1,40,train
TR_23,80,1,43,train
TR_24,20,1,20,train
TR_24,40,1,40,train
TR_24,80,1,42,train
TR_25,20,1,20,train
TR_25,40,1,40,train
TR_25,80,1,41,train
TR_26,20,1,20,train
TR_26,40,1,40,train
TR_26,80,1,42,train
TR_27,20,1,20,train
TR_27,40,1,40,train
TR_27,80,1,61,train
TR_28,20,1,20,train
TR_28,40,1,40,train
TR_28,80,1,54,train
