subset,rows,refuel_rate,model,roc_auc,pr_auc,log_loss
all,245912,0.09145954650444062,normal_frozen,0.8446645899228822,0.38347388698644524,0.24558507651814962
all,245912,0.09145954650444062,hormuz_pre_updated,0.8804182967833165,0.4546097074037282,0.22300593567087823
all,245912,0.09145954650444062,redsea_plus_hormuz_pre,0.8828855839415171,0.46517741339462504,0.21591026234332195
od_seen,229231,0.09239151772666,normal_frozen,0.8549306797015457,0.40010230543896186,0.24280598616915566
od_seen,229231,0.09239151772666,hormuz_pre_updated,0.885865381520975,0.4650439476258809,0.2228313892861636
od_seen,229231,0.09239151772666,redsea_plus_hormuz_pre,0.887729576856604,0.47492298461367555,0.21552695775298233
od_unseen,16681,0.0786523589712847,normal_frozen,0.6632015031842686,0.1148996106833043,0.28377545238232066
od_unseen,16681,0.0786523589712847,hormuz_pre_updated,0.8125007438952977,0.28718189456873205,0.22540455939334747
od_unseen,16681,0.0786523589712847,redsea_plus_hormuz_pre,0.8190056371393793,0.3026214276949169,0.22117765006277262
vessel_known,175920,0.0856412005457026,normal_frozen,0.8646399121619855,0.4016189188130648,0.22785584369201253
vessel_known,175920,0.0856412005457026,hormuz_pre_updated,0.8914679536349222,0.46099268158787543,0.20746689291247009
vessel_known,175920,0.0856412005457026,redsea_plus_hormuz_pre,0.8933535685922742,0.47192906786635913,0.20114427752415132
vessel_new,69992,0.10608355240598925,normal_frozen,0.7921297718340887,0.34715485039625926,0.29014626406492694
vessel_new,69992,0.10608355240598925,hormuz_pre_updated,0.852251429968757,0.4451260622389383,0.2620622335629111
vessel_new,69992,0.10608355240598925,redsea_plus_hormuz_pre,0.8562592397246448,0.45178904761814503,0.2530235331369627
